revenue,load,denied
19224.45212572479,100.0,7
20020.137219881843,100.0,3
19839.412512245468,100.0,3
19756.4981755285,100.0,5
20588.25852479461,100.0,6
20223.049540052707,100.0,4
19924.11273037092,100.0,0
19234.3605092188,94.0,0
20644.81359826932,100.0,9
20172.89340433925,100.0,5
20405.526630946708,100.0,3
18228.924615950953,90.0,0
20612.861276643835,100.0,2
19951.399103374366,100.0,0
19822.289953998185,100.0,8
18859.53565127486,94.0,0
19739.750312898283,100.0,9
19867.433536076926,100.0,8
19675.383480101187,100.0,8
19837.92058835669,98.0,0
19537.90102435035,98.0,0
20280.862962674022,100.0,10
20235.56372441036,100.0,1
20668.745734421485,100.0,5
19975.829380850548,100.0,5
19847.25306020283,100.0,9
19460.68196793029,100.0,8
19806.127051737927,100.0,7
20568.63269283999,100.0,2
20472.17308096458,100.0,4
19745.0392062031,100.0,10
19709.606350048627,98.0,0
19669.772844530475,100.0,6
19503.889553283145,100.0,3
20487.31086095248,100.0,10
20697.849931042205,100.0,10
19470.874041851814,100.0,4
19919.912886892947,100.0,7
20096.918921132314,100.0,2
19851.927151495645,100.0,0
20852.399654801528,100.0,6
20639.085939876764,100.0,6
19730.999259000608,100.0,9
20298.846207695988,100.0,9
18376.51549230209,94.0,0
21269.855877393653,100.0,9
18442.92497916764,92.0,0
19511.57179426742,96.0,0
19492.290980443195,98.0,0
17126.916139159803,90.0,0
18783.314971722353,96.0,0
19900.99020720166,100.0,3
20379.389840820415,100.0,7
20139.35194581386,100.0,3
20718.0928414406,100.0,6
19989.79798922542,100.0,5
17912.80322504101,90.0,0
19662.81722093898,100.0,4
19404.695976261723,100.0,6
20549.37344866959,100.0,3
19620.749081694004,100.0,3
19122.96658556945,96.0,0
19902.643140939155,100.0,0
19884.597283260322,100.0,8
20035.32387003285,100.0,7
20527.168873993494,100.0,10
20309.43637008849,100.0,4
19624.045483755024,100.0,3
20107.31317267985,100.0,9
18784.069743230015,92.0,0
19961.95839514629,100.0,7
17990.937275533608,90.0,0
19002.225206954638,94.0,0
20436.28419080353,100.0,7
19651.22697991451,100.0,3
18617.5152764281,92.0,0
20316.72727637361,100.0,4
19851.409884940396,100.0,8
20140.874396944608,100.0,6
17341.392586680216,92.0,0
20169.921760614317,100.0,8
17959.578766830262,92.0,0
19879.68722388905,100.0,2
20364.641305423207,100.0,10
17562.070108295753,92.0,0
19830.896678418103,100.0,4
19055.267493219013,94.0,0
19083.871956158306,96.0,0
20039.76504693754,100.0,0
19940.996255731447,100.0,0
19857.44230331333,100.0,1
19589.727271934356,100.0,7
19829.525609729604,100.0,6
20345.01983683219,98.0,0
19622.69589050706,100.0,6
20349.596939195133,100.0,3
21564.22833841648,100.0,3
20572.9430083144,100.0,9
19910.20705039672,100.0,9
20522.10194758219,100.0,2
17726.99683979993,90.0,0
19476.743793457303,98.0,0
19769.764080206372,100.0,3
19616.13890512071,100.0,7
19763.65068648671,100.0,10
18667.27852206815,94.0,0
19597.285502674808,98.0,0
19936.053885597827,100.0,1
20403.02376079661,100.0,9
17794.26950696854,94.0,0
19963.21386553593,100.0,3
18537.054526757744,98.0,0
19793.60941553782,100.0,3
19238.97331943893,100.0,5
20150.777325325227,100.0,1
19212.228484326366,100.0,5
19474.19259650627,100.0,1
19390.130472113877,100.0,2
19256.04065508807,100.0,8
19751.24638419598,100.0,1
19361.961342348524,100.0,4
20544.560101958705,100.0,0
19722.757822899865,100.0,6
20092.385722060808,100.0,4
19089.04214933381,100.0,6
19566.207685189212,100.0,8
20035.284736374717,100.0,6
20364.656454580294,100.0,1
19886.73997954666,100.0,4
20105.472852724673,100.0,9
19009.450107367415,98.0,0
20401.661929740396,100.0,1
19583.945140947646,100.0,1
20564.930863957914,100.0,8
19573.998759708404,100.0,0
19581.72502378145,100.0,9
20121.909721294596,100.0,10
20819.830004114585,100.0,10
17665.09042023371,90.0,0
20282.348626111252,100.0,5
19504.741564127446,100.0,1
19982.255477130362,98.0,0
19985.447675208336,100.0,3
20556.943415018384,100.0,1
20760.451416548647,100.0,9
18119.834039166588,94.0,0
19572.809020423134,98.0,0
19963.433784450466,100.0,4
20154.766996768354,100.0,7
19822.338860457727,98.0,0
20621.588459303322,100.0,7
19958.665001706548,100.0,8
19698.889863289925,100.0,1
19601.593732189995,100.0,0
19755.369471218826,96.0,0
20328.773884171835,100.0,8
