revenue,load,denied
14444.31694484497,100.0,10
13812.263017767604,100.0,9
15291.251928527454,100.0,7
15402.578732620106,100.0,6
15822.206432654992,100.0,9
13501.059636868293,95.0,0
15044.99845815072,100.0,3
15523.850546751575,100.0,10
14702.769943276091,100.0,1
13614.98893866043,85.0,0
15385.8584720882,100.0,5
11844.652674453446,85.0,0
14918.799324275433,100.0,2
14942.657467430257,100.0,6
15204.289740776969,100.0,7
16185.179951000473,100.0,9
15604.724104398567,100.0,8
13540.471842781932,90.0,0
14828.257977541767,100.0,2
13356.822386547126,95.0,0
12305.45066033389,85.0,0
14935.46884150684,100.0,0
14765.680902541859,100.0,8
11244.29366857981,80.0,0
14525.101121934907,95.0,0
13430.055781815721,90.0,0
13280.019619742208,85.0,0
15060.797315465255,100.0,10
12037.862824977505,80.0,0
16745.933684162756,100.0,9
14284.44223388889,100.0,4
16164.707145301896,100.0,2
14225.430668999701,100.0,1
13727.94720265017,100.0,7
15845.44783119305,100.0,10
14988.315981938536,100.0,0
14861.242089388325,100.0,6
12242.807780121755,85.0,0
16262.757452509466,100.0,2
15485.061924139673,100.0,9
15603.565180078875,100.0,7
15308.742265858376,100.0,10
14420.468351277601,100.0,1
14307.293528553188,100.0,3
15383.833870834134,100.0,4
15462.45151203731,100.0,8
15070.276157072176,100.0,10
14724.064505655602,100.0,9
15616.43290866071,100.0,1
11523.96387501151,75.0,0
14411.627796104309,100.0,9
11626.137752688514,85.0,0
16159.656206929407,100.0,9
12720.387364371025,85.0,0
15333.22015597984,100.0,3
15211.024362368034,100.0,2
16014.13920741823,100.0,7
14749.715634609152,100.0,1
14103.466910459741,100.0,0
14790.382241257861,100.0,0
15489.673154566528,100.0,7
11883.486513094294,90.0,0
14590.593866662362,100.0,3
11989.311853978359,80.0,0
14517.44860752937,100.0,3
13364.343401931481,85.0,0
10962.877883418772,80.0,0
12133.41561186956,75.0,0
14895.225621274914,95.0,0
11580.665146209847,85.0,0
12102.270728308958,80.0,0
13973.845806330237,90.0,0
12992.312563087626,90.0,0
13572.158360530548,100.0,8
14515.958135431849,100.0,0
14581.484766007085,100.0,10
14525.049759648153,100.0,3
14298.286732632803,100.0,1
14720.425175323931,100.0,7
15912.785222189523,100.0,4
14714.09062769831,100.0,4
12400.622721002614,80.0,0
15094.500333170727,100.0,7
