flight,class,mean_revenue,revenue_std,ci_lower_95,ci_upper_95,VaR_95,CVaR_95
FL-1005,first,14344.87770047222,1286.3782079116156,11357.857007349989,16145.096033308635,11707.125435860593,11219.653602523562
FL-1006,economy,22362.303432031378,428.88819239218356,21386.50636952533,23156.854419035804,21579.374522187194,21363.408953667848
FL-1007,economy,22368.36338338089,422.0106484608056,21527.02834753503,23198.234841941045,21648.865837284375,21456.379249245776
FL-1010,economy,22399.982594087116,423.258797481764,21514.37308484451,23179.88873652896,21681.723010054942,21464.632474477334
FL-1002,business,19639.252347336405,750.1950034884835,17830.422230325363,20687.97155096549,18028.00004630963,17773.144437494262
FL-1001,first,14350.727867713966,1318.633175077712,11106.701129842677,16125.901180093713,11480.417917445151,10965.634839249624
FL-1008,first,14247.109049271457,1364.3903883299733,11170.10404604812,16175.357895913286,11475.169181844803,11085.028090335156
FL-1006,first,14166.663237594334,1462.6465395889988,10762.63020563499,16097.496760562952,11046.61546096131,10741.107679475368
FL-1008,business,19664.22652218888,771.547641157358,17814.943073289287,20715.808971181017,18037.869662216075,17765.137599633097
FL-1001,economy,22329.62981205712,415.7785922442845,21385.901385396515,23119.46490283786,21586.130072181364,21364.777902707454
FL-1001,business,19636.10163412119,738.8711678020843,17922.297750226026,20734.703664733035,18113.741099954867,17851.275661402873
FL-1007,first,14312.736675608261,1314.2819546810945,10884.021699821227,16066.966828381666,11618.894511549732,10930.45338122851
FL-1004,first,14302.792270292994,1297.1050418349814,11117.139933798675,15992.960571373509,11595.10197842175,11045.393684325309
FL-1003,economy,22381.01770118765,434.7196470074919,21449.381039404798,23222.411469876406,21609.225026909808,21413.647458946893
FL-1009,business,19568.53683143589,776.9487797001204,17722.161415448434,20730.134148509173,17961.290891488134,17704.056763956418
FL-1003,business,19661.583150529565,689.7595236422404,18037.050880604802,20696.098415778117,18215.85730134805,17933.352506877036
FL-1010,business,19659.214490848764,745.3118580342816,17908.687324716782,20728.32407185992,18171.641769774636,17819.625247277072
FL-1007,business,19602.82310927126,762.4836746301012,17837.28043828798,20673.953800522588,18024.841700396297,17743.319792128914
FL-1002,first,14208.627152457126,1392.4717355849486,11098.027584876403,16222.478422377748,11380.265546187067,10955.570610503526
FL-1005,economy,22357.770228278667,423.25706691329395,21515.942234511447,23089.203564052128,21637.756814895347,21456.023623602632
FL-1004,business,19614.921928200532,765.7460923395956,17785.331040640307,20708.28090802326,18078.538421178277,17720.167252904426
FL-1002,economy,22368.7431223453,422.86551294442734,21531.7450268286,23121.836492996612,21677.098050451383,21472.074787990758
FL-1006,business,19579.21158387315,792.6986057992658,17752.859785232147,20638.378852383656,18005.580561668492,17714.952205904417
FL-1004,economy,22295.761544850862,424.50265644820564,21365.250914314463,23077.657721676274,21559.06537776811,21332.676762832572
FL-1009,economy,22349.47971689613,423.3163944023825,21460.184507960967,23126.056664336757,21623.795608328204,21428.301728613165
FL-1003,first,14202.040256548718,1409.2932004189458,11091.364906273873,16198.690324498602,11349.859440978096,10888.967605255992
FL-1005,business,19660.240539626924,729.0005343718561,17910.68790677632,20718.033611255916,18163.60494590067,17811.08528027504
FL-1009,first,14256.111521803105,1315.1675070657684,11041.313341823914,16055.58569652095,11405.941876000283,11046.101301139102
FL-1010,first,14361.252637084459,1338.71447191353,11074.335304616498,16266.95327104376,11453.149570546288,10974.52204395721
FL-1008,economy,22367.29370627887,454.49768427102777,21452.36085341952,23102.42731401257,21530.253357433136,21362.755629044663
