revenue,load,denied
19569.802923074716,98.0,0
19381.5706329455,100.0,1
18340.825417958094,94.0,0
20302.548093328525,100.0,0
19850.123024935627,100.0,6
19666.818138532464,96.0,0
20193.604663218244,100.0,6
19808.363205744863,100.0,3
19387.650774868565,98.0,0
19634.330848200316,100.0,4
18209.96991600263,90.0,0
20569.239534669556,100.0,9
19925.9842990652,100.0,0
19367.224442139483,100.0,6
19499.94027965664,96.0,0
19684.759125128563,100.0,1
18971.581384985802,100.0,6
19867.52450796959,98.0,0
19907.908624466305,100.0,3
20319.59469926275,100.0,0
20362.75897437412,100.0,10
20045.68125746213,100.0,5
19633.754615645576,100.0,2
19227.680245584434,98.0,0
19422.211939167268,100.0,8
20362.04870310203,100.0,1
19553.282903302406,100.0,9
20099.996538099414,100.0,7
20373.284986564628,100.0,7
18460.89126719179,92.0,0
20392.154204719,100.0,9
18491.050101915316,96.0,0
19301.912600835498,96.0,0
19645.34409493381,98.0,0
20116.820716086793,100.0,5
19416.655934320188,100.0,4
18683.448055114597,94.0,0
19827.76654878866,100.0,8
20204.285895590983,100.0,0
18013.721079758077,92.0,0
18896.182794660075,94.0,0
20618.929431344335,100.0,1
19462.757589232635,100.0,4
18993.481655626885,98.0,0
19494.399554149175,96.0,0
19675.286422509365,100.0,8
19322.184896831557,96.0,0
19693.048566294063,98.0,0
20031.103775406355,100.0,3
19138.280460465423,92.0,0
19570.379300105353,100.0,2
20222.57591795771,100.0,5
20449.859844073093,100.0,6
20471.24901312565,100.0,1
19678.94549140551,100.0,9
20161.469701472517,100.0,5
20032.10486288642,100.0,9
17727.294149469704,90.0,0
20083.361964360218,100.0,3
19733.64550640814,100.0,8
19881.349203245074,100.0,2
18027.837621447725,90.0,0
19278.159342769257,98.0,0
19922.64747754588,98.0,0
19714.254410121088,100.0,4
19667.4873196106,100.0,8
19015.077990134985,96.0,0
19580.417893827875,98.0,0
19660.60091327786,100.0,10
19113.6071005746,96.0,0
19684.59367330048,100.0,7
20121.844842948864,100.0,8
19720.590339548777,100.0,2
19936.067765341035,100.0,7
20135.30938941516,100.0,8
20310.433058359537,100.0,10
17477.742639666787,92.0,0
18269.268766964396,94.0,0
19926.184307051757,100.0,3
19823.255356410325,100.0,2
19875.92713870859,100.0,6
19565.781628678054,98.0,0
19674.528890331127,100.0,5
20272.023150472443,100.0,5
20344.66152709678,100.0,6
18934.516590455958,98.0,0
19354.825805337405,96.0,0
18624.589759904542,92.0,0
19527.298794908693,100.0,7
18420.015288164366,90.0,0
18587.93155678642,94.0,0
20480.42325302731,100.0,5
19613.359562977883,100.0,0
18771.092063298434,96.0,0
20146.17017530651,100.0,10
19505.00972840442,100.0,0
19230.720789995317,96.0,0
18176.6747275793,90.0,0
20152.104581953263,100.0,0
19628.761356853287,100.0,0
17988.519494140044,90.0,0
20112.630664588312,100.0,2
19753.500088859964,100.0,10
18541.758362817047,96.0,0
20089.26372011316,100.0,6
20231.46807338549,100.0,9
20851.044459967892,100.0,10
20232.21928156804,100.0,9
20203.98959169264,100.0,7
19826.727670528577,100.0,4
17822.194873908917,92.0,0
19322.236009261287,94.0,0
18388.547722797994,92.0,0
18237.2985206816,94.0,0
17909.1898645782,90.0,0
19483.9375398256,100.0,4
20390.820423285382,100.0,4
18104.362521210274,90.0,0
20223.530464723623,100.0,7
19711.469945122393,96.0,0
19982.163601888744,100.0,0
19774.52240037524,100.0,1
20217.048774993957,100.0,8
19081.217039330026,94.0,0
18303.988154682473,90.0,0
20178.93838109396,100.0,1
20889.43057916125,100.0,10
20351.727812233075,100.0,6
20015.4481899166,100.0,0
20762.496495349205,100.0,8
20131.529355705312,100.0,7
19733.53318721514,100.0,5
19843.51127702386,100.0,7
20117.020813919673,100.0,9
19454.839789104644,100.0,5
20241.373330560364,100.0,9
20187.473592456707,100.0,3
18958.14381883249,96.0,0
19796.85516979223,98.0,0
20191.83730235296,100.0,2
20099.065747844,100.0,6
18507.045360771943,94.0,0
20724.58830559642,100.0,9
20226.763171084127,100.0,5
20314.413436467312,100.0,0
17593.920046120482,90.0,0
19559.569401252877,98.0,0
17483.98724185448,92.0,0
20146.029046980035,100.0,6
19713.017251251036,100.0,4
19838.513870408802,100.0,9
19718.061454362578,100.0,8
19174.06977024828,94.0,0
19672.51731387582,98.0,0
20136.37763463657,100.0,8
19484.910926226854,100.0,10
17966.33836365609,92.0,0
19253.15913189482,100.0,7
19949.868815230202,100.0,4
19968.5201832986,100.0,3
20698.99277479824,100.0,5
19887.398576174986,100.0,3
20170.4991671997,100.0,9
20549.978482996696,100.0,10
19849.76355308968,100.0,8
20137.170541404677,100.0,8
18962.924362195965,92.0,0
20363.337318286853,100.0,4
19506.73597742864,100.0,6
19569.525506186874,100.0,4
19634.908859061714,100.0,0
20448.283316875953,100.0,6
20105.94302140347,100.0,8
20066.959579815237,100.0,8
20488.30659177454,100.0,2
19922.726397362436,100.0,10
17541.319865124202,90.0,0
20023.801726823593,100.0,4
19496.67338706157,100.0,7
19989.27025432798,100.0,7
18987.437696454646,94.0,0
20433.039399625544,100.0,7
20298.042000390422,100.0,9
19652.903970705935,96.0,0
19701.542756396764,100.0,2
18342.352242168115,90.0,0
20550.225152307354,100.0,6
19257.054391544825,96.0,0
20022.583120334755,100.0,2
18144.68384030788,90.0,0
19889.15325041553,100.0,7
19893.94350563779,100.0,10
19796.46409737929,100.0,2
18823.838937335055,96.0,0
20112.26156992469,100.0,7
17708.45547347703,94.0,0
20069.84159632471,100.0,6
20219.0525691254,100.0,8
19801.05598436216,98.0,0
18983.111723211965,96.0,0
20395.004818210822,100.0,5
19599.229562524964,100.0,5
18207.076318911117,90.0,0
18906.26239127533,96.0,0
20023.20621133075,100.0,10
18565.241090361542,96.0,0
19087.940427170415,100.0,8
19227.175337384026,98.0,0
19995.532917333105,98.0,0
21110.73521313701,100.0,5
20492.17791608538,100.0,10
19196.16932202839,96.0,0
19871.86657319706,100.0,1
20024.406632957383,100.0,8
19264.616998146725,100.0,5
20030.43193322045,100.0,7
19053.816449368987,94.0,0
20366.866682259304,100.0,2
19503.089642242998,98.0,0
19907.163019318617,100.0,3
18724.073881055207,94.0,0
18691.448198025955,96.0,0
20126.505874893326,100.0,6
20520.62506303573,100.0,10
19836.754694535444,98.0,0
18938.465637709764,94.0,0
19284.04568654582,100.0,4
19414.325121110975,100.0,0
19841.473156128202,100.0,3
19597.925032468618,100.0,9
18421.89847402944,90.0,0
19979.757034453407,100.0,10
21039.863140892943,100.0,1
20365.7658060294,100.0,4
20098.398511101306,100.0,7
20040.47160845703,100.0,1
19610.671936348448,100.0,3
17863.674175886354,92.0,0
19608.126101219863,100.0,1
20773.1095386837,100.0,3
20456.56790968062,100.0,2
18855.204178636934,94.0,0
20460.096001853308,100.0,5
20069.19035982658,100.0,8
17764.939554747274,92.0,0
19446.648001628517,96.0,0
19640.203212168726,100.0,6
20379.027159834568,100.0,0
19680.03497359378,100.0,6
19787.377076365454,100.0,2
17888.73979332009,92.0,0
18693.107439245425,94.0,0
19489.615583175644,100.0,5
18455.437971495143,92.0,0
20248.34203497352,100.0,9
19916.232034087676,100.0,3
20257.100145627082,100.0,2
20492.82174689096,100.0,6
20174.292475843344,100.0,1
20421.283119478212,100.0,10
20413.264890475108,100.0,2
19131.318141503405,100.0,9
20410.257481974924,100.0,10
20208.084664128637,98.0,0
19652.671711764473,98.0,0
19606.35853148892,100.0,7
19877.713008184845,100.0,0
19630.858953723648,100.0,8
19677.24418195869,100.0,1
19230.734335366782,100.0,5
20040.535609459752,100.0,9
19958.137243652192,100.0,6
20301.2561431508,100.0,9
20271.041361417436,100.0,5
19869.653330920883,100.0,9
19034.101551186664,98.0,0
19359.906499215707,100.0,5
19667.751098162385,100.0,0
20631.240229024967,100.0,0
19140.8543887983,96.0,0
19947.616678976472,100.0,0
20495.79491395724,100.0,2
20202.613589954595,100.0,5
20172.55450023178,100.0,10
19825.26209387257,100.0,10
19332.32962314662,100.0,8
19397.02085945829,98.0,0
18662.522923242435,94.0,0
19663.722626830408,98.0,0
19278.815985971778,100.0,10
19285.96692104654,100.0,5
19526.873368224136,100.0,6
19320.617888158897,98.0,0
18793.497861424163,92.0,0
20407.06156433199,100.0,1
20323.330191898604,100.0,7
20327.24811549269,100.0,3
20291.74596790245,100.0,0
19830.170784619444,100.0,7
19494.225583834752,100.0,2
18312.385530436077,94.0,0
19242.899523558986,100.0,2
18397.809216267146,90.0,0
19409.28404172798,96.0,0
19257.41186359202,98.0,0
18770.47878315182,92.0,0
20273.981530278084,100.0,9
20654.91823605156,100.0,8
19703.835447716407,100.0,7
19572.969805391993,100.0,5
20095.175645283638,100.0,4
20387.920924332113,100.0,0
19668.510846301546,100.0,9
19623.595487418734,100.0,0
20008.767095960375,100.0,10
20078.23774582583,100.0,4
19771.941764570885,98.0,0
20216.571993430192,100.0,3
18760.69632675783,92.0,0
20291.518782406783,100.0,10
20194.340754793007,100.0,10
19426.94695083515,100.0,9
18838.458268467366,92.0,0
19344.58682918844,100.0,4
20157.507642375047,100.0,4
20110.550560775227,100.0,1
20035.335187244964,100.0,1
20250.489352276825,100.0,9
