revenue,load,denied
15034.55435030051,100.0,10
14769.270332277254,100.0,10
15735.608322139225,100.0,5
15168.091719298223,100.0,6
14902.946417437077,100.0,1
15251.361591649083,100.0,6
14038.503026422648,100.0,6
14367.829906845474,100.0,8
14597.638315871187,95.0,0
14894.14636380131,100.0,7
15575.203466821931,100.0,9
14929.246793799244,100.0,3
14078.043475488692,100.0,6
14836.13674463608,100.0,4
11703.966697955893,80.0,0
14756.305815110507,100.0,1
13725.792187608959,85.0,0
13985.09400582157,100.0,0
14356.953382153975,100.0,2
14125.578298902548,100.0,8
13642.813029448267,90.0,0
14202.837924596019,100.0,10
13045.808358420043,85.0,0
12495.204686292458,90.0,0
15366.69197246158,100.0,7
14722.611696920274,100.0,5
14994.058355467825,100.0,2
12484.413023728413,90.0,0
15066.287163487694,100.0,6
16027.674663369335,100.0,1
15231.957049844343,100.0,3
14121.446610830553,95.0,0
16216.710515415349,100.0,6
15918.051147436985,100.0,0
12446.10997224477,80.0,0
15480.882493860154,100.0,5
14984.437133009347,100.0,1
15247.302141190894,100.0,9
14657.703888874446,100.0,5
15248.897939415718,100.0,6
14286.816709386754,100.0,6
13113.820121641218,90.0,0
16051.365450066653,100.0,10
13573.761439256734,100.0,2
13400.678516751197,90.0,0
14632.402270046747,100.0,8
15438.14807243411,100.0,5
15009.587623099882,100.0,2
15102.755369836212,100.0,5
14802.570671858277,100.0,3
15033.076927563618,100.0,8
15100.637882599276,100.0,9
15786.75108431528,100.0,10
15512.911911689112,100.0,9
14723.006060241822,100.0,9
14034.422681774426,100.0,6
16178.417666242436,100.0,8
14673.436905335835,100.0,6
15456.073488626824,100.0,8
16403.499506452565,100.0,5
14643.670410123952,95.0,0
15014.668785637716,100.0,9
14823.865968503684,100.0,2
14045.69660105089,100.0,5
15133.17572259901,100.0,9
11900.803520140373,80.0,0
14976.138411542686,100.0,6
15913.261780480068,100.0,4
15096.122793170629,100.0,4
15284.624376896974,100.0,6
14729.69225692965,100.0,9
15424.212169553639,100.0,7
15444.886105875892,100.0,10
14595.408140318867,100.0,4
13809.351020141106,100.0,9
14407.411767717884,95.0,0
15811.338694611002,100.0,1
15155.88675552933,100.0,7
14810.643098791712,100.0,8
15404.414080682547,100.0,10
14788.329247981701,100.0,5
15723.975711105988,100.0,6
14362.185887489208,100.0,3
14671.150024503377,100.0,7
15215.175427888506,100.0,10
12042.635221697827,80.0,0
14161.100550526462,95.0,0
16615.52152974394,100.0,10
14184.88335550125,90.0,0
15924.136982058068,100.0,3
14696.441704099863,100.0,0
14584.180453247378,100.0,7
14057.38640334909,100.0,3
15903.40678587335,100.0,10
14992.260803279407,100.0,2
14362.61926150215,100.0,3
10733.064192123184,75.0,0
13829.073196817275,90.0,0
13629.215137170591,90.0,0
12285.15920894163,85.0,0
13430.214570990078,90.0,0
14728.31755177658,100.0,8
12827.660090601183,85.0,0
14578.706378298311,100.0,9
14974.590577923575,95.0,0
14309.123887640893,100.0,4
13688.687576278886,95.0,0
13672.154252264469,100.0,1
15275.565215961842,100.0,10
15313.448571195026,100.0,0
14128.424247195255,95.0,0
15550.882648427467,100.0,1
15004.623891004316,100.0,5
13765.891301883314,95.0,0
11046.877039076237,75.0,0
12945.204801862676,90.0,0
14873.251487613989,100.0,2
14801.926066610878,100.0,7
14860.270461003962,100.0,4
13967.957685304276,100.0,9
15612.145078128944,100.0,4
11864.56483346305,80.0,0
12237.97722475971,80.0,0
15579.242149802005,100.0,2
14876.167758242575,100.0,8
11784.476215999946,75.0,0
10576.407496651775,75.0,0
15275.024038287063,100.0,3
15632.332565434159,100.0,1
14521.523279971012,100.0,8
15779.68803594853,100.0,8
14294.186443261933,90.0,0
11485.412032861574,80.0,0
12502.452130015903,80.0,0
11882.392094217457,80.0,0
13559.35724486464,90.0,0
15710.738415257498,100.0,10
13857.119612151759,100.0,2
13381.977997123622,90.0,0
16383.75225026336,100.0,3
13145.139978743227,85.0,0
13496.583396045457,100.0,0
15194.427245881694,95.0,0
13577.897805004852,90.0,0
10937.329866524075,75.0,0
16631.251105910265,100.0,4
13909.781983271743,100.0,2
12505.704929121268,90.0,0
15681.652185777295,100.0,3
15882.318013856711,100.0,0
10164.136466734606,75.0,0
14597.317472151539,100.0,7
16425.489145783973,100.0,8
14232.13982343577,100.0,6
14066.340942866023,90.0,0
14907.28483900102,100.0,5
14281.1726538791,100.0,6
15993.37753004757,100.0,3
15973.58660695896,100.0,10
11441.178769325228,75.0,0
12342.322358820069,80.0,0
15680.336382268617,100.0,4
14977.918857025454,95.0,0
15706.046635412271,100.0,5
13601.786641591028,90.0,0
15060.044708234349,100.0,5
14384.779789999471,100.0,4
14281.312960009696,100.0,7
14196.545080128692,95.0,0
13458.411214453015,90.0,0
13749.391140651576,90.0,0
15804.633845047501,100.0,2
14748.600708602688,100.0,3
15820.85451881559,100.0,5
14478.990264061867,95.0,0
12226.369571396877,85.0,0
10733.1059671571,75.0,0
12963.09552278661,90.0,0
14616.47171206559,100.0,3
12865.04317330407,85.0,0
15903.7188810509,100.0,9
14217.765142786395,100.0,4
13517.267581966982,90.0,0
13224.899553706671,85.0,0
14436.228243806958,100.0,5
15105.920943074248,100.0,4
11601.303706129082,80.0,0
15566.204683869686,100.0,7
15104.858647034758,100.0,10
11271.22283824993,75.0,0
15368.136066372237,100.0,8
13298.454571368507,85.0,0
14314.18207760139,95.0,0
15068.678406170851,100.0,3
15126.276297767698,100.0,7
14665.925594029344,100.0,5
15453.102055952646,100.0,1
14521.117786779232,100.0,8
14311.174733412437,95.0,0
11628.708682596276,80.0,0
14460.592065415662,100.0,10
13424.038806168124,90.0,0
15300.86634153635,100.0,0
12945.26854707818,85.0,0
14049.667037218649,100.0,4
15613.618628554,100.0,5
13091.131183942136,90.0,0
15516.330748574841,100.0,10
14541.184313502335,100.0,7
13910.727704566778,95.0,0
16158.650133171574,100.0,9
15790.70650774556,100.0,7
15204.765351315587,100.0,6
15618.226220060476,100.0,6
15037.515881544528,100.0,9
14062.279372614033,90.0,0
13977.855135978216,100.0,10
12994.45558616788,95.0,0
12446.251888027113,85.0,0
15322.690666068886,100.0,0
13536.287852403206,95.0,0
13787.41818672193,90.0,0
14588.875429507212,100.0,6
14996.295311432257,100.0,0
12817.312084705853,90.0,0
14907.733557833639,100.0,9
16525.380304160768,100.0,8
14020.285882506369,100.0,5
15098.163182216607,100.0,3
14408.300860402604,100.0,5
15192.794280545455,100.0,3
13682.233086713055,100.0,6
12815.932225492177,85.0,0
13693.894152918956,100.0,9
15463.647869671448,100.0,3
12498.32094195546,85.0,0
12518.212411810842,80.0,0
15089.389307291216,100.0,5
13731.527877325356,100.0,1
15266.299430286494,100.0,6
13760.421764359078,100.0,9
15357.688489007178,100.0,2
14322.459753033905,100.0,6
13866.542393094347,100.0,3
13961.30543848409,100.0,0
13126.599673024182,90.0,0
15575.001030838583,100.0,6
14715.213166385218,100.0,10
11332.087125031772,75.0,0
13702.836843304141,90.0,0
15155.723226536726,100.0,0
15047.959469195655,100.0,4
14144.15262172575,100.0,4
10892.519817061662,75.0,0
11787.804686943815,80.0,0
14725.556392404347,100.0,9
14231.959165080943,100.0,6
14478.718285086148,100.0,9
15206.711199490497,100.0,4
15178.617564248721,100.0,5
13370.089679701066,100.0,0
14812.170154921594,100.0,7
14609.984079247399,100.0,0
13904.997393884261,90.0,0
14927.813522039416,95.0,0
15352.987582406764,100.0,10
14479.73653433869,100.0,6
15041.32401426748,100.0,6
15097.623018052198,100.0,9
14627.811063406642,100.0,2
14567.814090059554,100.0,6
15085.321656880822,100.0,6
14144.275923484627,100.0,5
14486.535383134891,100.0,5
15830.915365155,100.0,1
14869.194270042663,100.0,9
14643.307038738525,100.0,7
15275.585740446197,100.0,6
15232.180227987292,100.0,5
13300.70585076198,90.0,0
12902.026604352315,85.0,0
14402.002206484682,100.0,2
14947.609311662894,100.0,9
12491.093881514533,85.0,0
15726.41199416573,100.0,10
14623.758405917773,100.0,1
14160.004286876574,100.0,7
11109.876627973912,75.0,0
15933.985405536509,100.0,5
12889.483692199481,85.0,0
14802.274008466216,100.0,3
10909.115426399849,75.0,0
16031.228538695024,100.0,10
12856.255916103122,80.0,0
14959.409125637903,100.0,7
16721.72661794962,100.0,10
15129.66674259029,100.0,8
16132.294452984845,100.0,10
15946.179630381292,100.0,7
14693.264745676726,100.0,2
14191.774512337002,100.0,6
14889.59891772067,95.0,0
14754.173878572616,100.0,3
13907.660735239748,90.0,0
15224.021504947803,100.0,3
14738.13299932271,90.0,0
13985.947267538862,100.0,2
11716.400029708957,80.0,0
14249.184985149393,100.0,10
15110.596684432901,100.0,10
13464.809874498986,95.0,0
15588.545582849341,100.0,7
14993.4851200603,100.0,1
14221.254106205959,95.0,0
15132.926142670496,100.0,2
14821.286361573453,100.0,0
15141.562451018515,100.0,1
12722.715823705938,80.0,0
14664.147291450572,100.0,8
15560.687064393309,100.0,3
15148.109411664998,100.0,10
15271.37692988158,100.0,6
14784.148944832012,100.0,7
14910.864374859624,100.0,7
14428.400042989711,100.0,2
16083.34890938055,100.0,10
14684.443156262996,100.0,10
15359.462969815166,100.0,10
15057.76546773994,100.0,10
13635.178614155144,95.0,0
15284.317060163836,100.0,6
12304.405073437143,85.0,0
13893.291386798768,90.0,0
12711.656501186833,80.0,0
12999.580916152017,85.0,0
14675.1008738468,100.0,9
12528.181463785937,85.0,0
14684.025023865956,100.0,4
11205.046221553064,75.0,0
13835.876577025763,95.0,0
15261.498163394766,95.0,0
14117.18306615515,100.0,3
15058.442089826282,100.0,4
15251.49328407267,100.0,0
14315.052221310678,100.0,4
14109.987702474482,95.0,0
11684.596646955746,80.0,0
11718.363874665394,85.0,0
11161.807686731025,75.0,0
11980.280329301151,75.0,0
14963.596901250832,100.0,7
14516.20845243434,100.0,9
12655.426797829434,80.0,0
12019.871837493552,80.0,0
15731.263533639523,100.0,8
15336.440497408938,100.0,9
14463.994579297922,100.0,7
15440.256652609558,100.0,10
16067.32858020707,100.0,0
14709.22372791457,100.0,3
15039.94047960633,100.0,1
12255.847997906198,80.0,0
15003.565620899451,95.0,0
15576.269939452617,100.0,0
15875.217725060973,100.0,4
14351.823869879376,100.0,5
10757.884985428089,75.0,0
14581.029812610017,100.0,0
14098.642281706012,100.0,1
15616.541698683195,100.0,1
14695.91749000377,95.0,0
15005.86799132644,100.0,6
14185.519652769377,100.0,0
15441.61855449975,95.0,0
15540.503454031676,100.0,7
14419.165174077441,100.0,4
15455.033604319271,100.0,7
14738.974344577568,100.0,1
11484.533005973868,80.0,0
14327.386502486957,100.0,5
11788.626314912693,85.0,0
10810.049854337405,75.0,0
15005.677453594555,95.0,0
15321.354951950641,100.0,0
15937.004470997535,100.0,9
13133.146389637983,85.0,0
14590.667823591046,100.0,5
14740.210985652117,100.0,0
14685.399392229741,100.0,4
12244.69908432568,75.0,0
10979.906729624188,75.0,0
15271.138275843252,100.0,0
13140.881450406338,85.0,0
10514.379869595346,75.0,0
12512.850424417942,75.0,0
12082.481207394017,80.0,0
15141.542389978178,100.0,1
14403.187775877268,100.0,6
14814.989143606856,100.0,3
14899.508907589188,100.0,9
13564.542324260581,100.0,1
14889.006313586071,100.0,4
14103.37420578383,100.0,3
14557.455345262435,100.0,5
14945.638054557636,100.0,5
16518.51671182953,100.0,7
14478.49646757271,100.0,4
16642.190217153722,100.0,10
15580.223442946306,100.0,3
12924.206308976156,85.0,0
14033.675585443067,100.0,4
15312.757898952537,100.0,4
14605.37832533471,100.0,10
16008.675543980498,100.0,6
11885.396303502177,75.0,0
12526.22462046355,85.0,0
10479.489213562447,75.0,0
15194.538564727965,100.0,8
15256.633229134475,100.0,9
9934.493666588347,75.0,0
15600.626118514014,100.0,3
11691.373520128664,80.0,0
15150.137037944576,100.0,8
14800.431166361308,100.0,6
12062.844431693024,80.0,0
14099.046565604607,100.0,8
12639.548998421576,95.0,0
12139.070513635557,80.0,0
15603.152923383266,100.0,7
13871.217336364089,90.0,0
15485.208309482414,100.0,6
11153.841525723725,75.0,0
16118.56101957037,100.0,4
15129.923123638162,100.0,3
13967.549170373337,90.0,0
13684.353870940562,85.0,0
16123.804984474922,100.0,6
11398.893512350358,80.0,0
14106.437708367623,100.0,4
14247.257795609681,100.0,0
13516.432990335938,90.0,0
15383.177710803468,100.0,5
15120.239379798002,100.0,6
14104.184939522354,100.0,8
14512.863462677024,100.0,7
16539.759613772723,100.0,4
12918.27573771973,85.0,0
15450.631073272434,100.0,5
15405.162145783015,100.0,4
15412.573814466394,100.0,7
11319.7401194796,80.0,0
14685.186952977976,100.0,10
15066.259827710363,100.0,9
11378.937674112694,80.0,0
12723.1346600813,85.0,0
15022.88278892001,100.0,6
14059.48634152396,100.0,2
15397.241189608449,100.0,7
14499.195654638952,100.0,9
13625.321383740182,95.0,0
15865.88134954484,100.0,7
15163.41219282947,100.0,4
16488.704764603484,100.0,8
15984.342875177928,100.0,7
13884.091600742198,100.0,3
15100.827865461008,100.0,9
15892.608817107332,100.0,8
15924.008708644276,100.0,8
14785.152679088267,100.0,5
15464.825209714541,100.0,1
12596.708282883134,85.0,0
14364.11504028638,100.0,3
12655.662000706774,75.0,0
13835.020303323854,90.0,0
14805.140681478424,100.0,10
16265.251299896625,100.0,10
11910.991263488562,80.0,0
14271.108693386057,95.0,0
14664.656209072598,100.0,4
16281.146155902585,100.0,4
14626.60946850288,100.0,2
13155.030372200032,90.0,0
15337.6071138373,100.0,0
14073.22040133765,95.0,0
15022.704227685916,100.0,7
13873.990767389203,100.0,5
12160.16847744684,80.0,0
15447.459892465684,100.0,5
14787.273858071256,100.0,4
14978.987488304929,100.0,10
12710.687000234386,80.0,0
12350.363347110684,85.0,0
15055.12563220976,100.0,6
14590.44725989425,100.0,2
14734.451520949282,100.0,3
15608.720220038094,100.0,6
14588.904317758084,100.0,3
14262.243124101316,100.0,9
12109.172919762106,80.0,0
15314.164837153605,100.0,4
