flight,class,mean_revenue,revenue_std,probability_of_loss,risk_level
FL-1001,business,19570.959183618383,797.0019732182592,0.0001,SAFE
FL-1001,economy,22383.183910743555,403.398743062515,0.0,SAFE
FL-1001,first,14263.911615746783,1457.4510657529704,0.071,WARNING
FL-1002,business,19604.888623723276,777.1489296499557,0.0001,SAFE
FL-1002,economy,22371.23300506084,451.7734612061643,0.0,SAFE
FL-1002,first,14337.306102815472,1357.8910168690495,0.0566,WARNING
FL-1003,business,19579.56509582772,777.5687867310114,0.0001,SAFE
FL-1003,economy,22375.277041082358,419.3237709674556,0.0,SAFE
FL-1003,first,14241.071919037477,1405.2798726231497,0.0642,WARNING
FL-1004,business,19609.376424101843,804.2285167642327,0.0001,SAFE
FL-1004,economy,22365.22471730104,441.3629624076656,0.0,SAFE
FL-1004,first,14301.572222815004,1351.1117636732374,0.0562,WARNING
FL-1005,business,19696.26308329372,726.7583561648427,0.0,SAFE
FL-1005,economy,22340.648875470277,429.3604149367446,0.0,SAFE
FL-1005,first,14267.938303747333,1345.232898431625,0.0558,WARNING
FL-1006,business,19628.396535172327,770.4206698199878,0.0001,SAFE
FL-1006,economy,22360.857542881586,428.701568338709,0.0,SAFE
FL-1006,first,14374.943944472478,1344.949794618801,0.0544,WARNING
FL-1007,business,19617.750827256637,717.7677368585361,0.0,SAFE
FL-1007,economy,22373.776972473665,441.6953538553097,0.0,SAFE
FL-1007,first,14333.767754360377,1339.742280436013,0.0543,WARNING
FL-1008,business,19671.255285657066,700.2063770965002,0.0,SAFE
FL-1008,economy,22357.00578919328,427.5332997464131,0.0,SAFE
FL-1008,first,14367.863284368534,1335.668491275991,0.0533,WARNING
FL-1009,business,19522.4124644692,803.1399523636028,0.0001,SAFE
FL-1009,economy,22358.005032000223,439.24833686841066,0.0,SAFE
FL-1009,first,14303.730451392305,1343.6045448226432,0.0551,WARNING
FL-1010,business,19607.057761176915,721.8700305396646,0.0,SAFE
FL-1010,economy,22354.222735697644,418.80568310220616,0.0,SAFE
FL-1010,first,14306.71501753291,1381.3013292703174,0.0601,WARNING
